   20      38
    1       7       5
    1       8      25
    1       9       3
    1      10       1
    1      17       8
    1      19      20
    2       6       7
    2       9      12
    2      11       9
    2      17      13
    2      18      14
    3       7      21
    3      10       3
    4      12      20
    4      16      10
    5       6       2
    5       8      13
    5      13       6
    6       7      12
    6       8      11
    6       9      25
    6      11      21
    6      16       2
    7      15       7
    7      17      21
    8       9      25
    8      11      15
    8      14      25
    8      15       1
    9      13       6
    9      16      13
    9      20      19
   12      16       4
   12      17      14
   12      18      14
   13      19       4
   13      20       3
   14      15      16
